title,year,genre,users_rating,votes,languages,directors,runtime
#FriendButMarried 2,2020,Biography,6.5,120,Indonesian,Rako Prijanto,100 min
4 Mantan,2020,Thriller,6.4,8,Indonesian,Hanny Saputra,80 min
Aku Tahu Kapan Kamu Mati,2020,Horror,5.4,17,Indonesian,Hadrah Daeng Ratu,92 min
Anak Garuda,2020,Adventure,9.1,27,Indonesian,Faozan Rizal,129 min
Dignitate,2020,Drama,7.6,33,Indonesian,Fajar Nugros,109 min
Guru-Guru Gokil,2020,Comedy,6.1,153,Indonesian,Sammaria Simanjuntak,101 min
Hunter in the Blue Side of Manchester,2020,Biography,6.2,21,English,Rako Prijanto,90 min
Janin,2020,Horror,6.1,7,Indonesian,Ook Budiyono,85 min
Mangkujiwo,2020,Horror,5.9,67,Indonesian,Azhar Kinoi Lubis,109 min
Mariposa,2020,Drama,8.5,54,Indonesian,Fajar Bustomi,117 min
May the Devil Take You: Chapter Two,2020,Horror,6.3,150,Indonesian,Timo Tjahjanto,110 min
Milea,2020,Drama,6.1,239,Indonesian,Pidi Baiq,102 min
Nanti Kita Cerita Tentang Hari Ini,2020,Drama,7.5,678,Indonesian,Angga Dwimas Sasongko,121 min
Nikah Yuk,2020,Drama,6.9,15,Indonesian,Adhe Dharmastriya,94 min
Rasuk 2,2020,Horror,6.4,9,Indonesian,Rizal Mantovani,95 min
Si Doel the Movie 3,2020,Drama,7.2,82,Indonesian,Rano Karno,93 min
Surat dari Kematian,2020,Horror,6.2,5,Indonesian,Hestu Saputra,86 min
Temen Kondangan,2020,Comedy,6,11,Indonesian,Iip Sariful Hanan,86 min
Titus: Mystery of the Enygma,2020,Animation,6.2,10,Indonesian,Dineshkumar Subashchandra,95 min
Toko Barang Mantan,2020,Comedy,6.3,71,Indonesian,Viva Westi,98 min
#Malam Jumat: The Movie,2019,Horror,5.3,47,Indonesian,Hadrah Daeng Ratu,91 min
#MoveOnAja,2019,Comedy,6.3,6,Indonesian,Hestu Saputra,
27 Steps of May,2019,Drama,8.2,280,Indonesian,Ravi L. Bharwani,112 min
99 Nama Cinta,2019,Drama,8,13,Indonesian,Danial Rifki,106 min
Abracadabra,2019,Comedy,5.9,39,Indonesian,Faozan Rizal,86 min
After Met You,2019,Drama,7.8,48,Indonesian,Patrick Effendy,107 min
Ajari Aku Islam,2019,Drama,7.1,34,Indonesian,Deni Pusung,93 min
Ambu,2019,Drama,7.8,16,Indonesian,Farid Dermawan,118 min
Anak Hoki,2019,Drama,4.7,11,Indonesian,Ginanti Rona Tembang Sari,97 min
Anak Muda Palsu,2019,Comedy,8.8,23,Indonesian,Ihdar Nur,103 min
Antologi Rasa,2019,Drama,7.2,98,Indonesian,Rizal Mantovani,108 min
Arwah Noni Belanda,2019,Horror,6.2,5,Indonesian,Agus Pestol,75 min
Bebas,2019,Comedy,7.3,358,Indonesian,Riri Riza,119 min
Bike Boyz,2019,Comedy,7.2,9,Indonesian,Aris Nugraha,95 min
Bridezilla,2019,Comedy,6,33,Indonesian,Andibachtiar Yusuf,94 min
Bumi Itu Bulat,2019,Drama,7.3,9,Indonesian,Ron Widodo,103 min
Calon Bini,2019,Comedy,7,43,Indonesian,Asep Kusdinar,96 min
Danur 3: Sunyaruri,2019,Horror,4.7,102,Indonesian,Awi Suryadi,90 min
Darah Daging,2019,Action,7.2,17,Indonesian,Sarjono Sutrisno,83 min
Death Whisper,2019,Horror,6.4,146,Indonesian,Awi Suryadi,91 min
Dilan 1991,2019,Drama,6.6,724,Indonesian,Pidi Baiq,121 min
Doremi & You,2019,Drama,7.8,39,Indonesian,B.W. Purba Negara,99 min
DreadOut,2019,Adventure,5.3,390,Indonesian,Kimo Stamboel,97 min
Dua Garis Biru,2019,Drama,8,763,Indonesian,Ginatri S. Noer,113 min
Eggnoid,2019,Drama,6.2,27,Indonesian,Naya Anindita,102 min
Ghost Writer,2019,Comedy,6.8,261,Indonesian,Bene Dion Rajagukguk,97 min
Gundala,2019,Action,6.5,"3,112",Indonesian,Joko Anwar,123 min
Habibie & Ainun 3,2019,Biography,7,133,Indonesian,Hanung Bramantyo,121 min
Hayya: The Power of Love 2,2019,Drama,5,147,Indonesian,Jastis Arimba,101 min
Hiruk-Pikuk Si Al-Kisah,2019,Drama,6.5,46,Indonesian,Yosep Anggi Noen,106 min
Hit & Run,2019,Action,6.2,157,Indonesian,Ody C. Harahap,114 min
Homecoming,2019,Drama,7.5,6,Indonesian,Adriyanto Dewo,93 min
Horas Amang: Tiga Bulan Untuk Selamanya,2019,Comedy,9.4,16,Indonesian,Irham Acho Bahtiar,109 min
Humba Dreams,2019,Drama,7,22,Indonesian,Riri Riza,75 min
Ikut Aku ke Neraka,2019,Horror,5.8,43,Indonesian,Azhar Kinoi Lubis,90 min
Imperfect,2019,Comedy,7.8,624,Indonesian,Ernest Prakasa,113 min
Impetigore,2019,Drama,6.9,"1,877",Indonesian,Joko Anwar,106 min
Iqro: My Universe,2019,Drama,6.6,8,Indonesian,Iqbal Alfajri,101 min
Jeritan Malam,2019,Horror,6.5,35,Indonesian,Rocky Soraya,119 min
"Kajeng Kliwon, Nightmare in Bali",2019,Horror,4.5,6,Indonesian,Bambang Drias,76 min
Kapal Goyang Kapten,2019,Comedy,6.6,23,Indonesian,Raymond Handaya,110 min
Kelam,2019,Horror,4.5,6,Indonesian,Erwin Arnada,75 min
Kembalinya Anak Iblis,2019,Horror,5,10,Indonesian,Rudy Soedjarwo,84 min
Koboy Kampus,2019,Comedy,5.8,19,Indonesian,Pidi Baiq,92 min
Koki-Koki Cilik 2,2019,Drama,6.8,9,Indonesian,Viva Westi,91 min
Kuambil Lagi Hatiku,2019,Drama,8.4,5,Indonesian,Azhar Kinoi Lubis,123 min
Kuntilanak 2,2019,Horror,4.8,73,Indonesian,Rizal Mantovani,100 min
Kutuk,2019,Horror,6.4,18,Indonesian,Rudi Aryanto,
Lagi-Lagi Ateng,2019,Comedy,5.9,14,Indonesian,Monty Tiwa,108 min
Lampor: Keranda Terbang,2019,Drama,6.7,53,Indonesian,Guntur Soeharjanto,95 min
